	"sin carga"				"con carga"				"locales"		
107	999680	500992	199744		997056	500960	199744		999776	500000	199168
108	999872	498336	199200		983392	498688	199200		1000416	499840	200608
109	999680	498720	199744		1016160	498912	197088		1000160	500320	199456
110	997024	500960	199168		1001952	500992	204128		999840	500320	200128
111	999904	498912	199744		997056	498688	197440		999840	499232	200192
112	997056	500992	199200		999680	500992	201472		999872	499840	200544
113	992896	498688	199744		983392	498336	197472		1000704	500320	199232
114	1004352	498336	192192		1009152	500992	199168		999552	500384	200608
115	1001984	498720	206720		1004064	498688	199744		999776	499168	199456
116	999328	500960	201504		999872	498912	199200		1000224	500576	200256
117	999680	500992	197408		999680	498688	199744		999840	500416	199520
118	999872	498912	199200		999328	475424	199168		999872	499168	200320
119	997056	498688	199744		979040	512352	199744		1000320	500384	200000
120	999680	498336	199200		985504	512544	199200		1000160	499776	199392
121	999872	500992	199744		997568	498688	202016		999552	500384	200576
122	999680	500992	199168		999360	496608	196896		1000160	499520	200416
123	997056	498688	199744		997600	498368	202048		999552	500288	200000
124	999872	498880	199200		1006304	496608	196896		1000928	500352	199712
125	999680	500992	199744		992704	496064	199744		999616	500384	199456
126	999328	496064	199168		999680	507968	201472		1000160	499168	200352
127	999680	500992	202048		988288	491328	199744		999808	499552	200032
128	997600	500992	196896		1043456	503648	196896		999904	500608	199392
129	999328	498688	199744		994976	491712	192768		999552	500320	200576
130	999680	500960	199200		969760	510240	204096		1000992	499232	200416
131	999872	498912	199744		994752	496640	201792		999808	500640	200000
132	999680	498688	199168		1006880	498688	199200		999840	500352	199392
133	997056	500992	199744		985696	498368	204096		999616	499488	200608
134	997600	498368	199200		1020512	494304	197120		1000096	499232	199552
135	1001952	498688	199712		1022592	505344	199744		999840	500608	200000
136	999328	500960	199200		997600	498912	196896		1000704	500352	199392
137	997600	500992	199744		997056	500992	202016		999840	500064	200608
138	1001952	489248	199200		997600	496064	196928		999872	499520	200384
139	994784	508096	199744		1001952	496608	202016		999840	499744	200224
140	1001952	498624	199168		997056	500992	196896		999872	500416	199168
141	999904	500960	202048		999872	507968	202048		1000672	500320	200608
142	999648	498688	196896		1001952	496064	199168		999872	499488	199552
143	997056	498912	202016		997056	493984	199744		999488	500352	200192
144	999872	500992	196928		993920	500992	199200		1000160	500032	200352
145	999680	500960	202016		1005632	510240	197440		999872	499840	200320
146	997056	498688	196896		997056	489440	199200		1000672	500320	199136
147	999872	498368	199744		1001952	496608	199744		999552	499488	200608
148	997056	500992	199200		995328	505344	201472		1000160	500064	199168
149	1001984	498688	202016		1004256	496608	197376		999552	499520	200576
150	997568	498912	196896		997024	510272	199264		1000160	500640	199456
151	999680	498688	199744		999680	493984	199744		999552	500384	200352
152	999328	500960	201472		999872	505344	201472		1000992	499456	200320
153	999680	500992	197440		992704	498688	199744		999552	500320	200288
154	994976	498368	201504		997056	498912	196896		1000160	500384	199168
155	1001952	498688	199712		1006848	500960	202016		999776	499168	200576
156	999680	500992	199200		999680	500992	199200		999872	499840	199200
157	999872	498880	199744		997056	498688	199744		999616	500320	200576
158	999680	498688	199200		985696	498368	196896		1000928	500320	199200
159	999360	500992	199744		1013856	498688	199744		999840	500064	200608
160	997568	498368	196896		1001952	498912	194816		999872	499840	200000
161	999680	498688	202016		994976	500960	204096		999840	499488	200608
162	999360	500960	196896		983424	498688	201504		999552	500384	199168
163	999648	500992	202016		976192	498368	197440		1000992	500000	200576
164	989472	498912	199200		1006880	500992	201472		999872	499840	199200
165	1007488	498688	199744		1001952	498688	197440		999840	500320	200608
166	997568	496064	199200		987776	500992	204128		999872	500320	200320
167	1001984	503264	199744		1006880	498880	197120		999488	499232	200288
168	999680	500992	199168		1013536	500992	196896		1000160	499776	199168
169	997024	496608	199744		983392	498688	202016		1000736	500384	199776
170	999904	500992	199200		999680	500992	199200		999808	500384	200544
171	999648	498688	199744		997056	498336	199712		999552	499168	200032
172	999360	500992	199200		999872	500992	196928		1000160	500608	199200
173	997600	498336	199712		1011232	496608	202016		999552	500384	200608
174	997056	498688	199200		983424	500992	199200		1000992	499168	200000
175	999648	500992	199744		1039072	498688	199744		999552	500384	199776
176	1001984	500992	199168		997056	500992	199168		1000160	500608	200256
177	997568	498880	199744		1001952	498368	199744		999552	499488	200320
178	1001952	498688	196896		997600	491648	196896		1000160	499232	199200
179	997056	500992	202048		999648	507744	199744		999744	500608	200608
180	999904	498368	199200		999360	499168	201504		1000736	500384	200192
181	999648	498688	199712		981120	500992	199712		999616	500032	199232
182	999360	500992	199200		988320	491680	199200		1000096	499520	200352
183	997600	498880	199744		994976	493792	199744		999840	499840	199776
184	999648	500992	199200		1022592	500992	199200		999552	500320	200256
185	999360	498688	199712		981312	500960	199712		1000992	500320	200000
