	"sin carga"				"con carga"				"locales"		
468	999072	513152	199040		999296	490624	201472		999872	499648	200544
469	1000000	493152	199712		996960	500864	199744		999232	500448	199904
470	1007840	501120	201344		999968	497856	189920		999680	499712	200352
471	991968	499200	197856		996416	499104	199744		1001728	500576	200384
472	996480	500608	198208		1000288	499872	206176		998944	499680	198624
473	1000512	499392	199552		986720	487328	202016		1000000	499072	200608
474	993888	500352	199712		1010880	518976	199200		999360	500192	200320
475	1002432	496416	211424		1004000	493600	197440		1001056	499712	199872
476	1008896	500608	188800		997792	500992	199200		1000032	501120	199808
477	989760	502432	199168		999072	497536	197088		999488	499648	200320
478	999840	497152	199296		998464	499232	201824		1001216	499648	200000
479	997408	499072	199680		1000672	500928	199744		998336	499968	200384
480	999904	501664	198144		996768	501152	197120		1000320	500320	198368
481	988096	497632	199712		999456	498944	204096		999488	499648	200128
482	1010880	501568	199296		998560	492896	196896		1000448	500576	200480
483	1000128	499072	202592		998336	500672	202048		1000960	500000	200320
484	996800	499232	196640		1002560	506848	199168		999840	499904	200128
485	1000672	500416	199712		985376	495296	197472		1000992	498976	198560
486	1011616	495712	199808		1012064	499040	199168		997600	499904	204768
487	986496	500672	198880		994848	501952	202048		1001344	500992	196512
488	1000032	501856	190784		1001280	499360	196896		999648	500192	200128
489	997728	499424	209408		997248	512736	199744		999264	499488	200128
490	999328	500704	199168		1003488	485824	197088		1001536	499456	198848
491	1000096	488768	198304		996800	500224	201824		998848	501952	201952
492	999392	518048	199744		1001120	501984	204128		999840	499648	210720
493	986848	488416	212544		991104	495040	194816		1001536	498208	200640
494	1007648	500160	199712		1000736	501760	201472		999264	502368	199744
495	999776	500032	199200		1004448	499360	201824		999840	498432	200000
496	1001760	500832	201792		1006016	500512	194816		1000032	500640	200032
497	997600	510688	199424		981216	490112	197120		998976	498624	200352
498	998944	499072	199264		1009568	522304	201824		1000768	512672	200256
499	997216	500800	199584		999456	498368	194816		999136	500640	200160
500	1003008	501248	197312		1010528	498784	164896		1012000	498784	199136
